"id","DC_FC_Assets_Type","DC_FC_Assets_Name","SQL_FC_Account_ID","SQL_Heading_Sequence","SQL_Sequence","SQL_Account_Name_Code","SQL_Account_Name","SQL_Account_Category_Order_Code","SQL_Account_Category_Order","SUB_Account_Category_Order_Code","SUB_Account_Category_Order","SQL_Account_Group_Name_Code","SQL_Account_Group_Name","Accountnumber_ID","January","February","March","April","May","June","July","August","September","October","November","December","Total","Account_Year","SQL_Property","updated_at"
"65","NON-OPERATING INCOME & EXPENSES","PROPERTY & OTHER TAXES","FC_property_and_other_taxes_ctyrd_5_1_non-operating_income_and_expenses","8","8.1","IS.2","Non-Operating Income & Expenses","IS.2.8","Property & Other Taxes",,,,,"FC_property_and_other_taxes_ctyrd_5_1_non-operating_income_and_expenses","65676.00","65682.00","64467.00","64467.00","64467.00","64467.00","68848.00","68848.00","68848.00","68848.00","68848.00","68848.00","802313.00","2024","Courtyard LA Pasadena Old Town","2024-12-21 12:15:02"
"66","NON-OPERATING INCOME & EXPENSES","INSURANCE","FC_insurance_ctyrd_5_1_non-operating_income_and_expenses","8","8.2","IS.2","Non-Operating Income & Expenses","IS.2.8","Insurance",,,,,"FC_insurance_ctyrd_5_1_non-operating_income_and_expenses","52992.00","30327.00","30330.00","30327.00","30339.00","52172.00","44912.00","44912.00","44912.00","45789.00","46820.00","46820.00","500651.00","2024","Courtyard LA Pasadena Old Town","2024-12-21 12:15:02"
"67","NON-OPERATING INCOME & EXPENSES","OTHER","FC_other_ctyrd_5_1_non-operating_income_and_expenses","8","8.3","IS.2","Non-Operating Income & Expenses","IS.2.8","Other (Non-Operating I&E)",,,,,"FC_other_ctyrd_5_1_non-operating_income_and_expenses","0.00","0.00","4511.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","4511.00","2024","Courtyard LA Pasadena Old Town","2024-12-21 12:15:02"
"68","NON-OPERATING INCOME & EXPENSES","EBITDA","FC_ebitda_ctyrd_5_1_non-operating_income_and_expenses","9","9","IS.3","EBITDA","IS.3.2","EBITDA",,,,,"FC_ebitda_ctyrd_5_1_non-operating_income_and_expenses","19439.00","469460.00","653160.00","564237.00","675411.00","611287.00","604301.00","611866.00","682141.00","756416.00","566891.00","525255.00","6739864.00","2024","Courtyard LA Pasadena Old Town","2024-12-21 12:15:02"
"69","INTEREST, DEPRECIATION & AMORTIZATION","INTEREST","FC_interest_ctyrd_5_1_interest,_depreciation_and_amortization","8","8.3","IS.2","Non-Operating Income & Expenses","IS.2.8","Other (Non-Operating I&E)",,,,,"FC_interest_ctyrd_5_1_interest,_depreciation_and_amortization","579.00","243014.00","226649.00","242245.00","231280.00","240081.00","242309.00","242309.00","242309.00","242309.00","242309.00","242309.00","2637702.00","2024","Courtyard LA Pasadena Old Town","2024-12-21 12:15:02"
"70","INTEREST, DEPRECIATION & AMORTIZATION","REPLACEMENT RESERVE","FC_replacement_reserve_ctyrd_5_1_interest,_depreciation_and_amortization","10","10","IS.2","Replacement Reserve","IS.2.12","Replacement Reserve",,,,,"FC_replacement_reserve_ctyrd_5_1_interest,_depreciation_and_amortization","0.00","0.00","63575.00","60824.00","67741.00","61300.00","65645.00","66264.00","69061.00","71641.00","61572.00","58832.00","646455.00","2024","Courtyard LA Pasadena Old Town","2024-12-21 12:15:02"
"71","INTEREST, DEPRECIATION & AMORTIZATION","NOI AFTER RESERVE","FC_noi_after_reserve_ctyrd_5_1_interest,_depreciation_and_amortization","11","11.1","IS.3","NOI after Reserve","IS.3.3","NOI after Reserve",,,,,"FC_noi_after_reserve_ctyrd_5_1_interest,_depreciation_and_amortization","18860.00","226447.00","362936.00","261168.00","376390.00","309906.00","296348.00","303292.00","370771.00","442466.00","263010.00","224114.00","3455707.00","2024","Courtyard LA Pasadena Old Town","2024-12-21 12:15:02"
"72",,"Total Operating Income","calc_FC_total_operating_income_ctyrd_5_1","2","2.5","IS.1","Revenue","IS.1.5","Total Operating Income",,,,,"calc_FC_total_operating_income_ctyrd_5_1","845520.00","1349166.00","1589382.00","1521694.00","1716834.00","1577486.00","1689189.00","1575621.00","1606161.00","1967813.00","1857720.00","1428524.00","0.00","2024","Courtyard LA Pasadena Old Town","2024-12-21 12:15:02"
"73",,"Total Department Expense","calc_FC_total_department_expense_ctyrd_5_1","3","3.5","IS.2","Department Expenses","IS.2.5","Total Department Expense",,,,,"calc_FC_total_department_expense_ctyrd_5_1","328876.00","352530.00","351238.00","368545.00","411448.00","335514.00","431741.00","272364.00","354194.00","327242.00","337185.00","300833.00","0.00","2024","Courtyard LA Pasadena Old Town","2024-12-21 12:15:02"
"74",,"Department Profit (Loss)","calc_FC_department_profit_loss_ctyrd_5_1","4","4.1","IS.4","Department Profit (Loss","IS.4.1","Department Profit (Loss)",,,,,"calc_FC_department_profit_loss_ctyrd_5_1","516644.00","996637.00","1238145.00","1153149.00","1305385.00","1241972.00","1257448.00","1303257.00","1251967.00","1640571.00","1520536.00","1127690.00","0.00","2024","Courtyard LA Pasadena Old Town","2024-12-21 12:15:02"
"75",,"Total Undistributed Expenses","calc_FC_total_undistributed_expenses_ctyrd_5_1","5","5.6","IS.5","Undistributed Expenses","IS.5.6","Total Undistributed Expenses",,,,,"calc_FC_total_undistributed_expenses_ctyrd_5_1","353171.00","390693.00","437996.00","448500.00","483482.00","466986.00","501378.00","433931.00","564193.00","513818.00","488985.00","425301.00","0.00","2024","Courtyard LA Pasadena Old Town","2024-12-21 12:15:02"
"76",,"GOP Margin","calc_FC_gop_margin_ctyrd_5_1","6","6.2","IS.3","Gross Operating Profit","IS.3.5","GOP Margin",,,,,"calc_FC_gop_margin_ctyrd_5_1","19.33","44.91","50.34","46.31","47.87","49.13","44.76","55.17","42.82","57.26","55.53","49.17","0.00","2024","Courtyard LA Pasadena Old Town","2024-12-21 12:15:02"
"77",,"Income before Non-Operating Inc&Exp","calc_FC_income_before_non-operating_incexp_ctyrd_5_1","7","7.2","IS.7","Income Before Non-Operating Inc & Exp","IS.7.1","Income before Non-Operating Inc&Exp",,,,,"calc_FC_income_before_non-operating_incexp_ctyrd_5_1","138107.00","560958.00","752468.00","659030.00","707999.00","705749.00","705285.00","849458.00","612182.00","1067719.00","976433.00","659705.00","0.00","2024","Courtyard LA Pasadena Old Town","2024-12-21 12:15:02"
"78",,"Total Non-Operating Income & Expenses","calc_FC_total_non-operating_income_and_expenses_ctyrd_5_1","8","8.4","IS.8","Total Non-Operating Income & Expenses","IS.8.4","Total Non-Operating Income & Expenses",,,,,"calc_FC_total_non-operating_income_and_expenses_ctyrd_5_1","118668.00","96009.00","94797.00","94793.00","94806.00","116638.00","121010.00","121009.00","171969.00","111901.00","115668.00","115668.00","0.00","2024","Courtyard LA Pasadena Old Town","2024-12-21 12:15:02"
"79",,"NOI Margin","calc_FC_noi_margin_ctyrd_5_1","11","11.2","IS.11","NOI Margin","IS.11.1","NOI Margin",,,,,"calc_FC_noi_margin_ctyrd_5_1","-1.70","30.46","37.38","33.08","31.72","33.34","30.59","42.23","23.41","44.57","42.33","34.08","0.00","2024","Courtyard LA Pasadena Old Town","2024-12-21 12:15:02"
"80",,"TTL AVAILABLE ROOMS","FC_ttl_available_rooms_ctwdc_4_4","1","1.1","OD.1","Operational Data","OD.1.1","Available Rooms",,,,,"FC_ttl_available_rooms_ctwdc_4_4","4433.00","4147.00","4433.00","4290.00","4433.00","4290.00","4433.00","4433.00","4290.00","4433.00","4290.00","4433.00","52338.00","2024","Courtyard Washington DC Dupont Circle","2024-12-21 12:15:02"
"81",,"TTL ROOMS SOLD","FC_ttl_rooms_sold_ctwdc_4_4","1","1.2","OD.1","Operational Data","OD.1.2","Rooms Sold",,,,,"FC_ttl_rooms_sold_ctwdc_4_4","2876.00","3047.00","3868.00","3809.00","3776.00","3745.00","3842.00","3589.00","3866.00","3875.00","3233.00","2982.00","42508.00","2024","Courtyard Washington DC Dupont Circle","2024-12-21 12:15:02"
"82",,"OCCUPANCY","FC_occupancy_ctwdc_4_4","1","1.3","OD.1","Operational Data","OD.1.3","Occupancy %",,,,,"FC_occupancy_ctwdc_4_4","64.90","73.50","87.30","88.80","85.20","87.30","86.70","81.00","90.10","87.40","75.40","67.30","81.20","2024","Courtyard Washington DC Dupont Circle","2024-12-21 12:15:02"
"83",,"AVERAGE DAILY RATE","FC_average_daily_rate_ctwdc_4_4","1","1.4","OD.1","Operational Data","OD.1.4","Average Rate",,,,,"FC_average_daily_rate_ctwdc_4_4","175.62","192.12","284.57","310.25","315.81","256.60","205.14","172.36","267.14","304.71","230.19","180.55","245.35","2024","Courtyard Washington DC Dupont Circle","2024-12-21 12:15:02"
"84",,"TOTAL REVPAR","FC_total_revpar_ctwdc_4_4","1","1.5","OD.1","Operational Data","OD.1.5","RevPar",,,,,"FC_total_revpar_ctwdc_4_4","121.97","150.36","259.06","293.83","278.50","233.30","189.02","149.37","251.21","276.81","181.76","128.51","209.46","2024","Courtyard Washington DC Dupont Circle","2024-12-21 12:15:02"
"85","OPERATING REVENUE","Rooms","FC_rooms_ctwdc_4_4_operating_revenue","2","2.1","IS.1","Revenue","IS.1.1","Room Revenue",,,,,"FC_rooms_ctwdc_4_4_operating_revenue","505085.00","585383.00","1100707.00","1181759.00","1192492.00","960978.00","788165.00","618602.00","1032774.00","1180750.00","744203.00","538394.00","10429293.00","2024","Courtyard Washington DC Dupont Circle","2024-12-21 12:15:02"
"86","OPERATING REVENUE","Food & Beverage","FC_food_and_beverage_ctwdc_4_4_operating_revenue","2","2.2","IS.1","Revenue","IS.1.2","F&B Revenue",,,,,"FC_food_and_beverage_ctwdc_4_4_operating_revenue","17141.00","21055.00","23137.00","25870.00","23116.00","19937.00","21740.00","20983.00","20663.00","22030.00","16853.00","14818.00","247343.00","2024","Courtyard Washington DC Dupont Circle","2024-12-21 12:15:02"
"87","OPERATING REVENUE","Other Operated Departments","FC_other_operated_departments_ctwdc_4_4_operating_revenue","2","2.3","IS.1","Revenue","IS.1.3","Other Revenue",,,,,"FC_other_operated_departments_ctwdc_4_4_operating_revenue","18448.00","17103.00","24587.00","52881.00","18986.00","19960.00","28001.00","22554.00","24266.00","24323.00","18677.00","16481.00","286267.00","2024","Courtyard Washington DC Dupont Circle","2024-12-21 12:15:02"
"88","DEPARTMENTAL EXPENSES","Rooms","FC_rooms_ctwdc_4_4_departmental_expenses","3","3.1","IS.2","Department Expenses","IS.2.1","Room Expense",,,,,"FC_rooms_ctwdc_4_4_departmental_expenses","111016.00","106971.00","122918.00","143146.00","136768.00","135007.00","142770.00","123277.00","139220.00","143063.00","121063.00","112933.00","1538152.00","2024","Courtyard Washington DC Dupont Circle","2024-12-21 12:15:02"
"89","DEPARTMENTAL EXPENSES","Food & Beverage","FC_food_and_beverage_ctwdc_4_4_departmental_expenses","3","3.2","IS.2","Department Expenses","IS.2.2","F&B Expense",,,,,"FC_food_and_beverage_ctwdc_4_4_departmental_expenses","25898.00","23611.00","23443.00","22651.00","24411.00","21061.00","23362.00","29552.00","28299.00","29426.00","26567.00","26215.00","304495.00","2024","Courtyard Washington DC Dupont Circle","2024-12-21 12:15:02"
"90","DEPARTMENTAL EXPENSES","Other Operated Departments","FC_other_operated_departments_ctwdc_4_4_departmental_expenses","3","3.3","IS.2","Department Expenses","IS.2.3","Other Expense",,,,,"FC_other_operated_departments_ctwdc_4_4_departmental_expenses","6198.00","2404.00","8591.00","4238.00","7573.00","-5384.00","13557.00","6352.00","6840.00","6856.00","5720.00","5276.00","68219.00","2024","Courtyard Washington DC Dupont Circle","2024-12-21 12:15:02"
"91","DEPARTMENTAL EXPENSES","Net Payroll Taxes & Employee Benefits","FC_net_payroll_taxes_and_employee_benefits_ctwdc_4_4_departmental_expenses","3","3.3","IS.2","Department Expenses","IS.2.3","Other Expense",,,,,"FC_net_payroll_taxes_and_employee_benefits_ctwdc_4_4_departmental_expenses","0.00","0.00","0.00","0.00","591.00","-589.00","649.00","0.00","0.00","0.00","0.00","0.00","650.00","2024","Courtyard Washington DC Dupont Circle","2024-12-21 12:15:02"
"92","UNDISTRIBUTED OPERATING EXPENSES","Administrative & General","FC_administrative_and_general_ctwdc_4_4_undistributed_operating_expenses","5","5.1","IS.2","Undistributed Expenses","IS.2.4","A&G Expense",,,,,"FC_administrative_and_general_ctwdc_4_4_undistributed_operating_expenses","61837.00","67784.00","74634.00","82142.00","76616.00","78965.00","58098.00","63665.00","72407.00","77315.00","65155.00","61460.00","840077.00","2024","Courtyard Washington DC Dupont Circle","2024-12-21 12:15:02"
"93","UNDISTRIBUTED OPERATING EXPENSES","Information & Telecommunications Sys.","FC_information_and_telecommunications_sys._ctwdc_4_4_undistributed_operating_expenses","5","5.2","IS.2","Undistributed Expenses","IS.2.5","Information & Telecommunications",,,,,"FC_information_and_telecommunications_sys._ctwdc_4_4_undistributed_operating_expenses","8289.00","8634.00","11736.00","10543.00","5758.00","13299.00","17539.00","9526.00","9526.00","9526.00","9526.00","9526.00","123427.00","2024","Courtyard Washington DC Dupont Circle","2024-12-21 12:15:02"
"94","UNDISTRIBUTED OPERATING EXPENSES","Sales & Marketing","FC_sales_and_marketing_ctwdc_4_4_undistributed_operating_expenses","5","5.3","IS.2","Undistributed Expenses","IS.2.6","Sales & Marketing",,,,,"FC_sales_and_marketing_ctwdc_4_4_undistributed_operating_expenses","82354.00","66584.00","116218.00","116650.00","156906.00","110191.00","110303.00","83730.00","112135.00","122720.00","90036.00","75053.00","1242880.00","2024","Courtyard Washington DC Dupont Circle","2024-12-21 12:15:02"
"95","UNDISTRIBUTED OPERATING EXPENSES","Property Operations & Maintenance","FC_property_operations_and_maintenance_ctwdc_4_4_undistributed_operating_expenses","5","5.4","IS.2","Undistributed Expenses","IS.2.7","Maintenance",,,,,"FC_property_operations_and_maintenance_ctwdc_4_4_undistributed_operating_expenses","17476.00","18321.00","23015.00","20933.00","22983.00","27564.00","24945.00","22739.00","27139.00","30789.00","26758.00","27239.00","289900.00","2024","Courtyard Washington DC Dupont Circle","2024-12-21 12:15:02"
"96","UNDISTRIBUTED OPERATING EXPENSES","Energy Costs","FC_energy_costs_ctwdc_4_4_undistributed_operating_expenses","5","5.5","IS.2","Undistributed Expenses","IS.2.14","Utilities",,,,,"FC_energy_costs_ctwdc_4_4_undistributed_operating_expenses","22490.00","21306.00","17905.00","23203.00","22639.00","15433.00","30316.00","26889.00","27810.00","27875.00","22457.00","20717.00","279038.00","2024","Courtyard Washington DC Dupont Circle","2024-12-21 12:15:02"
"97","UNDISTRIBUTED OPERATING EXPENSES","Net Hospitality Expense","FC_net_hospitality_expense_ctwdc_4_4_undistributed_operating_expenses","5","5.5","IS.2","Undistributed Expenses","IS.2.14","Utilities",,,,,"FC_net_hospitality_expense_ctwdc_4_4_undistributed_operating_expenses","1191.00","-1191.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2024","Courtyard Washington DC Dupont Circle","2024-12-21 12:15:02"
"98","UNDISTRIBUTED OPERATING EXPENSES","Gross Operating Profit (GOP)","FC_gross_operating_profit_gop_ctwdc_4_4_undistributed_operating_expenses","6","6.1","IS.3","Gross Operating Profit","IS.3.1","GOP",,,,,"FC_gross_operating_profit_gop_ctwdc_4_4_undistributed_operating_expenses","203927.00","309119.00","749971.00","837006.00","780350.00","605328.00","416368.00","296409.00","654328.00","779534.00","412452.00","231274.00","6276065.00","2024","Courtyard Washington DC Dupont Circle","2024-12-21 12:15:02"
"99","UNDISTRIBUTED OPERATING EXPENSES","Management Fees","FC_management_fees_ctwdc_4_4_undistributed_operating_expenses","7","7.1","IS.2","Management Fees","IS.2.13","Management Fees",,,,,"FC_management_fees_ctwdc_4_4_undistributed_operating_expenses","16220.00","23080.00","39153.00","39881.00","36941.00","29713.00","25137.00","19864.00","32331.00","36813.00","23392.00","17091.00","339616.00","2024","Courtyard Washington DC Dupont Circle","2024-12-21 12:15:02"
"100","Non-Operating Income & Expenses","Rent","FC_rent_ctwdc_4_4_non-operating_income_and_expenses","8","8.3","IS.2","Non-Operating Income & Expenses","IS.2.8","Other (Non-Operating I&E)",,,,,"FC_rent_ctwdc_4_4_non-operating_income_and_expenses","767.00","767.00","767.00","2157.00","731.00","731.00","731.00","731.00","731.00","731.00","731.00","731.00","10310.00","2024","Courtyard Washington DC Dupont Circle","2024-12-21 12:15:02"
"101","Non-Operating Income & Expenses","Property & Other taxes","FC_property_and_other_taxes_ctwdc_4_4_non-operating_income_and_expenses","8","8.1","IS.2","Non-Operating Income & Expenses","IS.2.8","Property & Other Taxes",,,,,"FC_property_and_other_taxes_ctwdc_4_4_non-operating_income_and_expenses","34750.00","34750.00","34750.00","34750.00","34750.00","45550.00","39450.00","34750.00","34750.00","34750.00","34750.00","34750.00","432505.00","2024","Courtyard Washington DC Dupont Circle","2024-12-21 12:15:02"
"102","Non-Operating Income & Expenses","Insurance","FC_insurance_ctwdc_4_4_non-operating_income_and_expenses","8","8.2","IS.2","Non-Operating Income & Expenses","IS.2.8","Insurance",,,,,"FC_insurance_ctwdc_4_4_non-operating_income_and_expenses","10729.00","12599.00","14773.00","4486.00","20711.00","12599.00","12599.00","9760.00","9760.00","9760.00","9760.00","9760.00","137296.00","2024","Courtyard Washington DC Dupont Circle","2024-12-21 12:15:02"
"103","Non-Operating Income & Expenses","Other","FC_other_ctwdc_4_4_non-operating_income_and_expenses","8","8.3","IS.2","Non-Operating Income & Expenses","IS.2.8","Other (Non-Operating I&E)",,,,,"FC_other_ctwdc_4_4_non-operating_income_and_expenses","0.00","0.00","0.00","0.00","0.00","0.00","0.00","300.00","300.00","300.00","300.00","300.00","1500.00","2024","Courtyard Washington DC Dupont Circle","2024-12-21 12:15:02"
"104","Non-Operating Income & Expenses","Earnings b/f Interest, Taxes, Depr. & Amort.","FC_earnings_b_f_interest,_taxes,_depr._and_amort._ctwdc_4_4_non-operating_income_and_expenses","9","9","IS.3","EBITDA","IS.3.2","EBITDA",,,,,"FC_earnings_b_f_interest,_taxes,_depr._and_amort._ctwdc_4_4_non-operating_income_and_expenses","141460.00","237922.00","660527.00","755731.00","687217.00","516735.00","338451.00","231003.00","576455.00","697179.00","343518.00","168641.00","5354837.00","2024","Courtyard Washington DC Dupont Circle","2024-12-21 12:15:02"
"105","Non-Operating Income & Expenses","Capital Replacement Reserve","FC_capital_replacement_reserve_ctwdc_4_4_non-operating_income_and_expenses","10","10","IS.2","Replacement Reserve","IS.2.12","Replacement Reserve",,,,,"FC_capital_replacement_reserve_ctwdc_4_4_non-operating_income_and_expenses","21627.00","24942.00","45992.00","50859.00","49254.00","39671.00","33516.00","26486.00","43108.00","49084.00","31189.00","22788.00","438516.00","2024","Courtyard Washington DC Dupont Circle","2024-12-21 12:15:02"
"106","Non-Operating Income & Expenses","EBITDA Less Replacement Reserve","FC_ebitda_less_replacement_reserve_ctwdc_4_4_non-operating_income_and_expenses","11","11.1","IS.3","NOI after Reserve","IS.3.3","NOI after Reserve",,,,,"FC_ebitda_less_replacement_reserve_ctwdc_4_4_non-operating_income_and_expenses","119833.00","212980.00","614535.00","704872.00","637962.00","477064.00","304934.00","204517.00","533347.00","648095.00","312328.00","145854.00","4916322.00","2024","Courtyard Washington DC Dupont Circle","2024-12-21 12:15:02"
"107",,"Total Operating Income","calc_FC_total_operating_income_ctwdc_4_4","2","2.5","IS.1","Revenue","IS.1.5","Total Operating Income",,,,,"calc_FC_total_operating_income_ctwdc_4_4","540674.00","623542.00","1148431.00","1260511.00","1234594.00","1000875.00","837906.00","887536.00","1013531.00","1230831.00","639616.00","537359.00","0.00","2024","Courtyard Washington DC Dupont Circle","2024-12-21 12:15:02"
"108",,"Total Department Expense","calc_FC_total_department_expense_ctwdc_4_4","3","3.5","IS.2","Department Expenses","IS.2.5","Total Department Expense",,,,,"calc_FC_total_department_expense_ctwdc_4_4","143111.00","132986.00","154952.00","170035.00","169342.00","150095.00","180337.00","165493.00","154640.00","136363.00","150661.00","138461.00","0.00","2024","Courtyard Washington DC Dupont Circle","2024-12-21 12:15:02"
"109",,"Department Profit (Loss)","calc_FC_department_profit_loss_ctwdc_4_4","4","4.1","IS.4","Department Profit (Loss","IS.4.1","Department Profit (Loss)",,,,,"calc_FC_department_profit_loss_ctwdc_4_4","397563.00","490556.00","993479.00","1090476.00","1065251.00","850780.00","657570.00","722044.00","858891.00","1094468.00","488955.00","398897.00","0.00","2024","Courtyard Washington DC Dupont Circle","2024-12-21 12:15:02"
"110",,"Total Undistributed Expenses","calc_FC_total_undistributed_expenses_ctwdc_4_4","5","5.6","IS.5","Undistributed Expenses","IS.5.6","Total Undistributed Expenses",,,,,"calc_FC_total_undistributed_expenses_ctwdc_4_4","193636.00","181437.00","243507.00","253470.00","284901.00","245452.00","241202.00","209031.00","235364.00","265238.00","201145.00","189154.00","0.00","2024","Courtyard Washington DC Dupont Circle","2024-12-21 12:15:02"
"111",,"GOP Margin","calc_FC_gop_margin_ctwdc_4_4","6","6.2","IS.3","Gross Operating Profit","IS.3.5","GOP Margin",,,,,"calc_FC_gop_margin_ctwdc_4_4","37.72","49.57","65.30","66.40","63.21","60.48","49.69","57.80","61.52","67.37","45.00","39.03","0.00","2024","Courtyard Washington DC Dupont Circle","2024-12-21 12:15:02"
"112",,"Income before Non-Operating Inc&Exp","calc_FC_income_before_non-operating_incexp_ctwdc_4_4","7","7.2","IS.7","Income Before Non-Operating Inc & Exp","IS.7.1","Income before Non-Operating Inc&Exp",,,,,"calc_FC_income_before_non-operating_incexp_ctwdc_4_4","187706.00","286038.00","710818.00","797125.00","743410.00","575615.00","391231.00","486819.00","592938.00","802989.00","268621.00","193622.00","0.00","2024","Courtyard Washington DC Dupont Circle","2024-12-21 12:15:02"
"113",,"Total Non-Operating Income & Expenses","calc_FC_total_non-operating_income_and_expenses_ctwdc_4_4","8","8.4","IS.8","Total Non-Operating Income & Expenses","IS.8.4","Total Non-Operating Income & Expenses",,,,,"calc_FC_total_non-operating_income_and_expenses_ctwdc_4_4","46247.00","48117.00","50291.00","41394.00","56193.00","58881.00","52781.00","47795.00","74809.00","48730.00","46379.00","46379.00","0.00","2024","Courtyard Washington DC Dupont Circle","2024-12-21 12:15:02"
"114",,"NOI Margin","calc_FC_noi_margin_ctwdc_4_4","11","11.2","IS.11","NOI Margin","IS.11.1","NOI Margin",,,,,"calc_FC_noi_margin_ctwdc_4_4","22.16","34.16","53.51","55.92","51.67","47.66","36.39","45.53","46.85","57.28","30.75","23.40","0.00","2024","Courtyard Washington DC Dupont Circle","2024-12-21 12:15:03"
"115",,"AVAILABLE ROOMS","FC_available_rooms_hginnb_5_11","1","1.1","OD.1","Operational Data","OD.1.1","Available Rooms",,,,,"FC_available_rooms_hginnb_5_11","6696.00","6264.00","6696.00","6480.00","6696.00","6480.00","6696.00","6696.00","6480.00","6696.00","6480.00","6696.00","79056.00","2024","Hilton Garden Inn Bethesda","2024-12-21 12:15:03"
"116",,"OCCUPIED ROOMS","FC_occupied_rooms_hginnb_5_11","1","1.2","OD.1","Operational Data","OD.1.2","Rooms Sold",,,,,"FC_occupied_rooms_hginnb_5_11","2023.00","3073.00","4920.00","5101.00","5278.00","4721.00","4369.00","4011.00","4872.00","5050.00","4995.00","3623.00","52036.00","2024","Hilton Garden Inn Bethesda","2024-12-21 12:15:03"
"117",,"OCCUPANCY %","FC_occupancy_hginnb_5_11","1","1.3","OD.1","Operational Data","OD.1.3","Occupancy %",,,,,"FC_occupancy_hginnb_5_11","30.20","49.10","73.50","78.70","78.80","72.90","65.20","59.90","75.20","75.40","77.10","54.10","65.80","2024","Hilton Garden Inn Bethesda","2024-12-21 12:15:03"
"118",,"ADR","FC_adr_hginnb_5_11","1","1.4","OD.1","Operational Data","OD.1.4","Average Rate",,,,,"FC_adr_hginnb_5_11","128.28","136.99","160.38","186.21","190.68","179.31","155.68","145.18","202.19","198.38","154.85","147.73","169.70","2024","Hilton Garden Inn Bethesda","2024-12-21 12:15:03"
"119",,"REV PAR","FC_rev_par_hginnb_5_11","1","1.5","OD.1","Operational Data","OD.1.5","RevPar",,,,,"FC_rev_par_hginnb_5_11","38.75","67.21","117.84","146.59","150.30","130.64","101.58","86.96","152.02","149.61","119.36","79.93","111.70","2024","Hilton Garden Inn Bethesda","2024-12-21 12:15:03"
"120","REVENUE","ROOMS","FC_rooms_hginnb_5_11_revenue","2","2.1","IS.1","Revenue","IS.1.1","Room Revenue",,,,,"FC_rooms_hginnb_5_11_revenue","259502.00","420981.00","789061.00","949879.00","1006403.00","846528.00","680154.00","582304.00","985089.00","1001808.00","773460.00","535237.00","8830407.00","2024","Hilton Garden Inn Bethesda","2024-12-21 12:15:03"
"121","REVENUE","FOOD & BEVERAGE","FC_food_and_beverage_hginnb_5_11_revenue","2","2.2","IS.1","Revenue","IS.1.2","F&B Revenue",,,,,"FC_food_and_beverage_hginnb_5_11_revenue","9439.00","2352.00","6049.00","12428.00","19184.00","30612.00","21870.00","42222.00","69147.00","77603.00","78157.00","53629.00","422691.00","2024","Hilton Garden Inn Bethesda","2024-12-21 12:15:03"
"122","REVENUE","OTHER OPERATED DEPARTMENTS","FC_other_operated_departments_hginnb_5_11_revenue","2","2.3","IS.1","Revenue","IS.1.3","Other Revenue",,,,,"FC_other_operated_departments_hginnb_5_11_revenue","33530.00","32285.00","53726.00","38960.00","45529.00","30781.00","46180.00","42396.00","51497.00","53379.00","52797.00","38295.00","519355.00","2024","Hilton Garden Inn Bethesda","2024-12-21 12:15:03"
"123","DEPARTMENT EXPENSES","ROOMS","FC_rooms_hginnb_5_11_department_expenses","3","3.1","IS.2","Department Expenses","IS.2.1","Room Expense",,,,,"FC_rooms_hginnb_5_11_department_expenses","118092.00","108173.00","152952.00","165075.00","190267.00","178460.00","150185.00","137825.00","168249.00","171071.00","163297.00","133498.00","1837146.00","2024","Hilton Garden Inn Bethesda","2024-12-21 12:15:03"
"124","DEPARTMENT EXPENSES","FOOD & BEVERAGE","FC_food_and_beverage_hginnb_5_11_department_expenses","3","3.2","IS.2","Department Expenses","IS.2.2","F&B Expense",,,,,"FC_food_and_beverage_hginnb_5_11_department_expenses","28485.00","15389.00","20768.00","32089.00","20871.00","36763.00","23933.00","45747.00","58763.00","59509.00","58850.00","52649.00","453816.00","2024","Hilton Garden Inn Bethesda","2024-12-21 12:15:03"
"125","DEPARTMENT EXPENSES","OTHER OPERATED DEPARTMENTS","FC_other_operated_departments_hginnb_5_11_department_expenses","3","3.3","IS.2","Department Expenses","IS.2.3","Other Expense",,,,,"FC_other_operated_departments_hginnb_5_11_department_expenses","3178.00","10754.00","8261.00","17900.00","14160.00","2079.00","13161.00","12089.00","14668.00","15202.00","15037.00","10926.00","137416.00","2024","Hilton Garden Inn Bethesda","2024-12-21 12:15:03"
"126","UNDISTRIBUTED OPERATING EXPENSES","ADMINISTRATIVE & GENERAL","FC_administrative_and_general_hginnb_5_11_undistributed_operating_expenses","5","5.1","IS.2","Undistributed Expenses","IS.2.4","A&G Expense",,,,,"FC_administrative_and_general_hginnb_5_11_undistributed_operating_expenses","44899.00","43208.00","44995.00","59360.00","67607.00","41327.00","44581.00","40705.00","52450.00","52744.00","47216.00","41006.00","580097.00","2024","Hilton Garden Inn Bethesda","2024-12-21 12:15:03"
"127","UNDISTRIBUTED OPERATING EXPENSES","INFORMATION & TELECOMMUNICATIONS","FC_information_and_telecommunications_hginnb_5_11_undistributed_operating_expenses","5","5.2","IS.2","Undistributed Expenses","IS.2.5","Information & Telecommunications",,,,,"FC_information_and_telecommunications_hginnb_5_11_undistributed_operating_expenses","9278.00","7567.00","8552.00","11088.00","10650.00","9632.00","8371.00","7371.00","7371.00","7371.00","7371.00","7371.00","101994.00","2024","Hilton Garden Inn Bethesda","2024-12-21 12:15:03"
