"id","DC_BD_Assets_Type","DC_BD_Assets_Name","SQL_BD_Account_ID","SQL_Heading_Sequence","SQL_Sequence","SQL_Account_Name_Code","SQL_Account_Name","SQL_Account_Category_Order_Code","SQL_Account_Category_Order","SUB_Account_Category_Order_Code","SUB_Account_Category_Order","SQL_Account_Group_Name_Code","SQL_Account_Group_Name","Accountnumber_ID","January","February","March","April","May","June","July","August","September","October","November","December","Total","Por_Per_Rev","Account_Year","SQL_Property","updated_at"
"61","UNDISTRIBUTED OPERATING EXPENSES","GROSS OPERATING PROFIT","BD_gross_operating_profit_ctyrd_5_1_undistributed_operating_expenses","6","6.1","IS.3","Gross Operating Profit","IS.3.1","GOP","IS.3.1.1","Gross Operating Profit",,,"BD_gross_operating_profit_ctyrd_5_1_undistributed_operating_expenses","543335.00","645129.00","945326.00","996378.00","1140161.00","982656.00","999815.00","1052017.00","1065393.00","1190531.00","912430.00","763538.00","11236709.00",,"2024","Courtyard LA Pasadena Old Town","2024-12-21 12:15:02"
"62","UNDISTRIBUTED OPERATING EXPENSES","MANAGEMENT FEES","BD_management_fees_ctyrd_5_1_undistributed_operating_expenses","7","7.1","IS.2","Management Fees","IS.2.13","Management Fees","IS.2.13.1","Management Fees",,,"BD_management_fees_ctyrd_5_1_undistributed_operating_expenses","38865.00","41545.00","54636.00","55297.00","61244.00","54415.00","56531.00","58675.00","58590.00","62604.00","51916.00","46169.00","640486.00",,"2024","Courtyard LA Pasadena Old Town","2024-12-21 12:15:02"
"63","NON-OPERATING INCOME & EXPENSES","PROPERTY & OTHER TAXES","BD_property_and_other_taxes_ctyrd_5_1_non-operating_income_and_expenses","8","8.1","IS.2","Non-Operating Income & Expenses","IS.2.8","Property & Other Taxes","IS.2.8.11","Property & Other Taxes",,,"BD_property_and_other_taxes_ctyrd_5_1_non-operating_income_and_expenses","64467.00","64467.00","64467.00","64467.00","64467.00","64467.00","68848.00","68848.00","68848.00","68848.00","68848.00","68848.00","799890.00",,"2024","Courtyard LA Pasadena Old Town","2024-12-21 12:15:02"
"64","NON-OPERATING INCOME & EXPENSES","INSURANCE","BD_insurance_ctyrd_5_1_non-operating_income_and_expenses","8","8.2","IS.2","Non-Operating Income & Expenses","IS.2.8","Insurance","IS.2.8.13","Insurance General",,,"BD_insurance_ctyrd_5_1_non-operating_income_and_expenses","42986.00","42986.00","42986.00","42986.00","44912.00","44912.00","44912.00","44912.00","44912.00","45789.00","46820.00","46820.00","535933.00",,"2024","Courtyard LA Pasadena Old Town","2024-12-21 12:15:02"
"65","NON-OPERATING INCOME & EXPENSES","OTHER","BD_other_ctyrd_5_1_non-operating_income_and_expenses","8","8.3","IS.2","Non-Operating Income & Expenses","IS.2.8","Other (Non-Operating I&E)","IS.2.8.1-","Other",,,"BD_other_ctyrd_5_1_non-operating_income_and_expenses","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",,"2024","Courtyard LA Pasadena Old Town","2024-12-21 12:15:02"
"66","NON-OPERATING INCOME & EXPENSES","EBITDA","BD_ebitda_ctyrd_5_1_non-operating_income_and_expenses","9","9","IS.3","EBITDA","IS.3.2","EBITDA","IS.3.2.1","EBITDA",,,"BD_ebitda_ctyrd_5_1_non-operating_income_and_expenses","397017.00","496130.00","783237.00","833628.00","969538.00","818862.00","829524.00","879582.00","893044.00","1013290.00","744847.00","601701.00","9260400.00",,"2024","Courtyard LA Pasadena Old Town","2024-12-21 12:15:02"
"67","INTEREST, DEPRECIATION & AMORTIZATION","INTEREST","BD_interest_ctyrd_5_1_interest,_depreciation_and_amortization","8","8.3","IS.2","Non-Operating Income & Expenses","IS.2.8","Other (Non-Operating I&E)","IS.2.8.1-","Other",,,"BD_interest_ctyrd_5_1_interest,_depreciation_and_amortization","242309.00","242309.00","242309.00","242309.00","242309.00","242309.00","242309.00","242309.00","242309.00","242309.00","242309.00","242309.00","2907708.00",,"2024","Courtyard LA Pasadena Old Town","2024-12-21 12:15:02"
"68","INTEREST, DEPRECIATION & AMORTIZATION","REPLACEMENT RESERVE","BD_replacement_reserve_ctyrd_5_1_interest,_depreciation_and_amortization","10","10","IS.2","Replacement Reserve","IS.2.12","Replacement Reserve","IS.2.12.1","Replacement Reserve",,,"BD_replacement_reserve_ctyrd_5_1_interest,_depreciation_and_amortization","51819.00","55394.00","72848.00","73729.00","81659.00","72553.00","75374.00","78234.00","78120.00","83472.00","69221.00","61559.00","853982.00",,"2024","Courtyard LA Pasadena Old Town","2024-12-21 12:15:02"
"69","INTEREST, DEPRECIATION & AMORTIZATION","NOI AFTER RESERVE","BD_noi_after_reserve_ctyrd_5_1_interest,_depreciation_and_amortization","11","11.1","IS.3","NOI after Reserve","IS.3.3","NOI after Reserve","IS.3.3.1","NOI after Reserve",,,"BD_noi_after_reserve_ctyrd_5_1_interest,_depreciation_and_amortization","102889.00","198428.00","468080.00","517590.00","645570.00","504000.00","511841.00","559039.00","572615.00","687509.00","433317.00","297833.00","5498710.00",,"2024","Courtyard LA Pasadena Old Town","2024-12-21 12:15:02"
"70",,"Total Operating Income","calc_BD_total_operating_income_ctyrd_5_1","2","2.5","IS.2","Revenue","IS.2.5","Total Operating Income",,,,,"calc_BD_total_operating_income_ctyrd_5_1","1295487.00","1384842.00","1821200.00","1843234.00","2041466.00","1813825.00","1884360.00","1955844.00","1952989.00","2086801.00","1730523.00","1538971.00","21349543.00",,"2024","Courtyard LA Pasadena Old Town","2024-12-21 12:15:02"
"71",,"Total Department Expense","calc_BD_total_department_expense_ctyrd_5_1","3","3.5","IS.2","Department Expenses","IS.2.5","Total Department Expense",,,,,"calc_BD_total_department_expense_ctyrd_5_1","339885.00","331233.00","392216.00","380454.00","401205.00","366999.00","386929.00","387586.00","384439.00","392425.00","367142.00","349720.00","4480235.00",,"2024","Courtyard LA Pasadena Old Town","2024-12-21 12:15:02"
"72",,"Department Profit (Loss)","calc_BD_department_profit_loss_ctyrd_5_1","4","4.1","IS.4","Department Profit (Loss)","IS.4.1","Department Profit (Loss)",,,,,"calc_BD_department_profit_loss_ctyrd_5_1","955602.00","1053609.00","1428984.00","1462780.00","1640261.00","1446826.00","1497431.00","1568258.00","1568550.00","1694376.00","1363381.00","1189251.00","16869308.00",,"2024","Courtyard LA Pasadena Old Town","2024-12-21 12:15:02"
"73",,"Total Undistributed Expenses","calc_BD_total_undistributed_expenses_ctyrd_5_1","5","5.6","IS.5","Undistributed Expenses","IS.5.6","Total Undistributed Expenses",,,,,"calc_BD_total_undistributed_expenses_ctyrd_5_1","412268.00","408480.00","483659.00","466402.00","500099.00","464170.00","497614.00","516241.00","503155.00","503844.00","450951.00","425712.00","5632600.00",,"2024","Courtyard LA Pasadena Old Town","2024-12-21 12:15:02"
"74",,"GOP Margin","calc_BD_gop_margin_ctyrd_5_1","6","6.2","IS.6","Gross Operating Profit","IS.6.1","GOP Margin",,,,,"calc_BD_gop_margin_ctyrd_5_1","41.94","46.59","51.91","54.06","55.85","54.18","53.06","53.79","54.55","57.05","52.73","49.61","52.63",,"2024","Courtyard LA Pasadena Old Town","2024-12-21 12:15:02"
"75",,"Income before Non-Operating Inc&Exp","calc_BD_income_before_non-operating_incexp_ctyrd_5_1","7","7.2","IS.7","Income Before Non-Operating Inc & Exp","IS.7.1","Income before Non-Operating Inc&Exp",,,,,"calc_BD_income_before_non-operating_incexp_ctyrd_5_1","504470.00","603584.00","890690.00","941081.00","1078917.00","928241.00","943284.00","993342.00","1006803.00","1127927.00","860514.00","717369.00","10596223.00",,"2024","Courtyard LA Pasadena Old Town","2024-12-21 12:15:02"
"76",,"Total Non-Operating Income & Expenses","calc_BD_total_non-operating_income_and_expenses_ctyrd_5_1","8","8.4","IS.8","Total Non-Operating Income & Expenses","IS.8.4","Total Non-Operating Income & Expenses",,,,,"calc_BD_total_non-operating_income_and_expenses_ctyrd_5_1","349762.00","349762.00","349762.00","349762.00","351688.00","351688.00","356069.00","356069.00","356069.00","356946.00","357977.00","357977.00","4243531.00",,"2024","Courtyard LA Pasadena Old Town","2024-12-21 12:15:02"
"77",,"NOI Margin","calc_BD_noi_margin_ctyrd_5_1","11","11.2","IS.11","NOI Margin","IS.11.1","NOI Margin",,,,,"calc_BD_noi_margin_ctyrd_5_1","7.94","14.33","25.70","28.08","31.62","27.79","27.16","28.58","29.32","32.95","25.04","19.35","25.76",,"2024","Courtyard LA Pasadena Old Town","2024-12-21 12:15:02"
"78",,"TTL AVAILABLE ROOMS","BD_ttl_available_rooms_ctwdc_4_4","1","1.1","OD.1","Operational Data","OD.1.1","Available Rooms","-","-",,,"BD_ttl_available_rooms_ctwdc_4_4","4433.00","4147.00","4433.00","4290.00","4433.00","4290.00","4433.00","4433.00","4290.00","4433.00","4290.00","4433.00","52338.00",,"2024","Courtyard Washington DC Dupont Circle","2024-12-21 12:15:02"
"79",,"TTL ROOMS SOLD","BD_ttl_rooms_sold_ctwdc_4_4","1","1.2","OD.1","Operational Data","OD.1.2","Rooms Sold","-","-",,,"BD_ttl_rooms_sold_ctwdc_4_4","3088.00","2833.00","3930.00","3875.00","3835.00","3752.00","3915.00","3550.00","3773.00","3912.00","3233.00","2977.00","42673.00",,"2024","Courtyard Washington DC Dupont Circle","2024-12-21 12:15:02"
"80",,"OCCUPANCY","BD_occupancy_ctwdc_4_4","1","1.3","OD.1","Operational Data","OD.1.3","Occupancy %","-","-",,,"BD_occupancy_ctwdc_4_4","69.70","68.30","88.70","90.30","86.50","87.50","88.30","80.10","87.90","88.20","75.40","67.20","81.50",,"2024","Courtyard Washington DC Dupont Circle","2024-12-21 12:15:02"
"81",,"AVERAGE DAILY RATE","BD_average_daily_rate_ctwdc_4_4","1","1.4","OD.1","Operational Data","OD.1.4","Average Rate","-","-",,,"BD_average_daily_rate_ctwdc_4_4","165.38","189.74","282.33","317.31","311.54","278.69","205.78","176.23","274.31","301.40","234.72","184.99","247.99",,"2024","Courtyard Washington DC Dupont Circle","2024-12-21 12:15:02"
"82",,"TOTAL REVPAR","BD_total_revpar_ctwdc_4_4","1","1.5","OD.1","Operational Data","OD.1.5","RevPar","-","-",,,"BD_total_revpar_ctwdc_4_4","122.55","137.49","260.78","296.74","279.16","253.54","191.92","150.84","251.71","276.59","185.77","132.04","211.61",,"2024","Courtyard Washington DC Dupont Circle","2024-12-21 12:15:02"
"83","OPERATING REVENUE","Rooms","BD_rooms_ctwdc_4_4_operating_revenue","2","2.1","IS.1","Revenue","IS.1.1","Room Revenue","IS.1.1.1","Rooms",,,"BD_rooms_ctwdc_4_4_operating_revenue","510698.00","537524.00","1109550.00","1229594.00","1194762.00","1045633.00","805639.00","625613.00","1034972.00","1179058.00","758846.00","550705.00","10582594.00","95.60","2024","Courtyard Washington DC Dupont Circle","2024-12-21 12:15:02"
"84","OPERATING REVENUE","Food & Beverage","BD_food_and_beverage_ctwdc_4_4_operating_revenue","2","2.2","IS.1","Revenue","IS.1.2","F&B Revenue","IS.1.2.1","Food & Beverage",,,"BD_food_and_beverage_ctwdc_4_4_operating_revenue","14576.00","15854.00","21011.00","18399.00","18254.00","18392.00","20268.00","20476.00","20900.00","22216.00","18512.00","16583.00","225441.00","2.00","2024","Courtyard Washington DC Dupont Circle","2024-12-21 12:15:02"
"85","OPERATING REVENUE","Other Operated Departments","BD_other_operated_departments_ctwdc_4_4_operating_revenue","2","2.3","IS.1","Revenue","IS.1.3","Other Revenue","IS.1.3.1","Total Other Operated Departments",,,"BD_other_operated_departments_ctwdc_4_4_operating_revenue","17976.00","16812.00","25486.00","25013.00","24491.00","23656.00","24887.00","22567.00","23985.00","24868.00","19582.00","18031.00","267353.00","2.40","2024","Courtyard Washington DC Dupont Circle","2024-12-21 12:15:02"
"86","DEPARTMENTAL EXPENSES","Rooms","BD_rooms_ctwdc_4_4_departmental_expenses","3","3.1","IS.2","Department Expenses","IS.2.1","Room Expense","IS.2.1.3","Cleaning Supplies",,,"BD_rooms_ctwdc_4_4_departmental_expenses","111123.00","104525.00","141008.00","140259.00","141077.00","134716.00","134392.00","124278.00","134648.00","140777.00","119082.00","111122.00","1537007.00","14.50","2024","Courtyard Washington DC Dupont Circle","2024-12-21 12:15:02"
"87","DEPARTMENTAL EXPENSES","Food & Beverage","BD_food_and_beverage_ctwdc_4_4_departmental_expenses","3","3.2","IS.2","Department Expenses","IS.2.2","F&B Expense","IS.2.2.2","Food Cost",,,"BD_food_and_beverage_ctwdc_4_4_departmental_expenses","26433.00","25528.00","30193.00","27133.00","28820.00","27561.00","28646.00","28878.00","28303.00","29397.00","27387.00","27083.00","335362.00","148.80","2024","Courtyard Washington DC Dupont Circle","2024-12-21 12:15:02"
"88","DEPARTMENTAL EXPENSES","Other Operated Departments","BD_other_operated_departments_ctwdc_4_4_departmental_expenses","3","3.3","IS.2","Department Expenses","IS.2.3","Other Expense","IS.2.3.1","Total Other Operated Departments Expense",,,"BD_other_operated_departments_ctwdc_4_4_departmental_expenses","5892.00","5760.00","7772.00","7580.00","7287.00","6891.00","7321.00","6731.00","7091.00","7316.00","6220.00","5806.00","81668.00","30.50","2024","Courtyard Washington DC Dupont Circle","2024-12-21 12:15:02"
"89","DEPARTMENTAL EXPENSES","Net Payroll Taxes & Employee Benefits","BD_net_payroll_taxes_and_employee_benefits_ctwdc_4_4_departmental_expenses","3","3.3","IS.2","Department Expenses","IS.2.3","Other Expense","IS.2.3.1","Other Expense",,,"BD_net_payroll_taxes_and_employee_benefits_ctwdc_4_4_departmental_expenses","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2024","Courtyard Washington DC Dupont Circle","2024-12-21 12:15:02"
"90","UNDISTRIBUTED OPERATING EXPENSES","Administrative & General","BD_administrative_and_general_ctwdc_4_4_undistributed_operating_expenses","5","5.1","IS.2","Undistributed Expenses","IS.2.4","A&G Expense","IS.2.4.1","Administrative & General",,,"BD_administrative_and_general_ctwdc_4_4_undistributed_operating_expenses","60796.00","58936.00","84589.00","79285.00","81059.00","75321.00","70179.00","64261.00","74670.00","79345.00","66525.00","62175.00","857140.00","7.70","2024","Courtyard Washington DC Dupont Circle","2024-12-21 12:15:02"
"91","UNDISTRIBUTED OPERATING EXPENSES","Information & Telecommunications Sys.","BD_information_and_telecommunications_sys._ctwdc_4_4_undistributed_operating_expenses","5","5.2","IS.2","Undistributed Expenses","IS.2.5","Information & Telecommunications","IS.2.5.1","Information & Telecommunications Sys.",,,"BD_information_and_telecommunications_sys._ctwdc_4_4_undistributed_operating_expenses","9328.00","9200.00","9200.00","9205.00","9265.00","9388.00","9525.00","9525.00","9525.00","9525.00","9525.00","9525.00","112739.00","1.00","2024","Courtyard Washington DC Dupont Circle","2024-12-21 12:15:02"
"92","UNDISTRIBUTED OPERATING EXPENSES","Sales & Marketing","BD_sales_and_marketing_ctwdc_4_4_undistributed_operating_expenses","5","5.3","IS.2","Undistributed Expenses","IS.2.6","Sales & Marketing","IS.2.6.1","Sales & Marketing",,,"BD_sales_and_marketing_ctwdc_4_4_undistributed_operating_expenses","78754.00","74754.00","116865.00","129663.00","121070.00","109648.00","100727.00","80826.00","108490.00","124234.00","87853.00","72871.00","1205755.00","10.90","2024","Courtyard Washington DC Dupont Circle","2024-12-21 12:15:02"
"93","UNDISTRIBUTED OPERATING EXPENSES","Property Operations & Maintenance","BD_property_operations_and_maintenance_ctwdc_4_4_undistributed_operating_expenses","5","5.4","IS.2","Undistributed Expenses","IS.2.7","Maintenance","IS.2.7.1","Property Operations & Maintenance",,,"BD_property_operations_and_maintenance_ctwdc_4_4_undistributed_operating_expenses","28669.00","24853.00","27812.00","27828.00","26651.00","25606.00","28452.00","26066.00","25361.00","28962.00","24969.00","25410.00","320639.00","2.90","2024","Courtyard Washington DC Dupont Circle","2024-12-21 12:15:02"
"94","UNDISTRIBUTED OPERATING EXPENSES","Energy Costs","BD_energy_costs_ctwdc_4_4_undistributed_operating_expenses","5","5.5","IS.2","Undistributed Expenses","IS.2.14","Utilities","IS.2.14.1","Utilities",,,"BD_energy_costs_ctwdc_4_4_undistributed_operating_expenses","21733.00","19807.00","27457.00","27073.00","26794.00","26215.00","27352.00","24807.00","26362.00","27331.00","22596.00","20811.00","298339.00","2.70","2024","Courtyard Washington DC Dupont Circle","2024-12-21 12:15:02"
"95","UNDISTRIBUTED OPERATING EXPENSES","Gross Operating Profit (GOP)","BD_gross_operating_profit_gop_ctwdc_4_4_undistributed_operating_expenses","6","6.1","IS.3","Gross Operating Profit","IS.3.1","GOP","IS.3.1.1","Gross Operating Profit",,,"BD_gross_operating_profit_gop_ctwdc_4_4_undistributed_operating_expenses","200522.00","246826.00","711152.00","824980.00","795484.00","672335.00","444200.00","303284.00","665405.00","779253.00","432782.00","250515.00","6326738.00","57.10","2024","Courtyard Washington DC Dupont Circle","2024-12-21 12:15:02"
"96","UNDISTRIBUTED OPERATING EXPENSES","Management Fees","BD_management_fees_ctwdc_4_4_undistributed_operating_expenses","7","7.1","IS.2","Management Fees","IS.2.13","Management Fees","IS.2.13","Management Fees",,,"BD_management_fees_ctwdc_4_4_undistributed_operating_expenses","16297.00","17106.00","34681.00","38190.00","37125.00","32630.00","25524.00","20060.00","32396.00","36784.00","23908.00","17560.00","332262.00","3.00","2024","Courtyard Washington DC Dupont Circle","2024-12-21 12:15:02"
"97","Non-Operating Income & Expenses","Rent","BD_rent_ctwdc_4_4_non-operating_income_and_expenses","8","8.3","IS.2","Non-Operating Income & Expenses","IS.2.8","Other (Non-Operating I&E)","IS.2.8.2","Rent & Leases",,,"BD_rent_ctwdc_4_4_non-operating_income_and_expenses","731.00","731.00","731.00","731.00","731.00","731.00","731.00","731.00","731.00","731.00","731.00","731.00","8777.00","0.10","2024","Courtyard Washington DC Dupont Circle","2024-12-21 12:15:02"
"98","Non-Operating Income & Expenses","Property & Other taxes","BD_property_and_other_taxes_ctwdc_4_4_non-operating_income_and_expenses","8","8.1","IS.2","Non-Operating Income & Expenses","IS.2.8","Property & Other Taxes","IS.2.8.11","Property & Other Taxes",,,"BD_property_and_other_taxes_ctwdc_4_4_non-operating_income_and_expenses","34750.00","34750.00","34750.00","34750.00","34750.00","45550.00","34328.00","34328.00","34328.00","35809.00","35809.00","35809.00","429714.00","3.90","2024","Courtyard Washington DC Dupont Circle","2024-12-21 12:15:02"
"99","Non-Operating Income & Expenses","Insurance","BD_insurance_ctwdc_4_4_non-operating_income_and_expenses","8","8.2","IS.2","Non-Operating Income & Expenses","IS.2.8","Insurance","IS.2.8.3","Insurance",,,"BD_insurance_ctwdc_4_4_non-operating_income_and_expenses","13103.00","13103.00","13103.00","13103.00","13103.00","13103.00","13103.00","13103.00","13103.00","13862.00","13862.00","13862.00","159516.00","1.40","2024","Courtyard Washington DC Dupont Circle","2024-12-21 12:15:02"
"100","Non-Operating Income & Expenses","Other","BD_other_ctwdc_4_4_non-operating_income_and_expenses","8","8.3","IS.2","Non-Operating Income & Expenses","IS.2.8","Other (Non-Operating I&E)","IS.2.8.8","Owner Expenses",,,"BD_other_ctwdc_4_4_non-operating_income_and_expenses","350.00","350.00","350.00","350.00","350.00","350.00","350.00","350.00","350.00","350.00","350.00","350.00","4200.00","0.00","2024","Courtyard Washington DC Dupont Circle","2024-12-21 12:15:02"
"101","Non-Operating Income & Expenses","Capital Replacement Reserve","BD_capital_replacement_reserve_ctwdc_4_4_non-operating_income_and_expenses","10","10","IS.2","Replacement Reserve","IS.2.12","Replacement Reserve","IS.2.12.1","Replacement Reserve",,,"BD_capital_replacement_reserve_ctwdc_4_4_non-operating_income_and_expenses","21730.00","22808.00","46242.00","50920.00","49500.00","43507.00","34032.00","26746.00","43194.00","49046.00","31878.00","23413.00","443015.00","4.00","2024","Courtyard Washington DC Dupont Circle","2024-12-21 12:15:02"
"102","Non-Operating Income & Expenses","EBITDA Less Replacement Reserve","BD_ebitda_less_replacement_reserve_ctwdc_4_4_non-operating_income_and_expenses","9","9","IS.3","EBITDA","IS.3.2","EBITDA","IS.3.2.1","EBITDA",,,"BD_ebitda_less_replacement_reserve_ctwdc_4_4_non-operating_income_and_expenses","113560.00","157978.00","581293.00","686935.00","659923.00","536462.00","336131.00","207965.00","541303.00","642671.00","326244.00","158791.00","4949255.00","44.70","2024","Courtyard Washington DC Dupont Circle","2024-12-21 12:15:02"
"103",,"Total Operating Income","calc_BD_total_operating_income_ctwdc_4_4","2","2.5","IS.2","Revenue","IS.2.5","Total Operating Income",,,,,"calc_BD_total_operating_income_ctwdc_4_4","543250.00","570190.00","1156047.00","1273006.00","1237507.00","1087681.00","850794.00","668656.00","1079857.00","1226142.00","796940.00","585319.00",,,"2024","Courtyard Washington DC Dupont Circle","2024-12-21 12:15:02"
"104",,"Total Department Expense","calc_BD_total_department_expense_ctwdc_4_4","3","3.5","IS.2","Department Expenses","IS.2.5","Total Department Expense",,,,,"calc_BD_total_department_expense_ctwdc_4_4","143448.00","135813.00","178973.00","174972.00","177184.00","169168.00","170359.00","159887.00","170042.00","177490.00","152689.00","144011.00",,,"2024","Courtyard Washington DC Dupont Circle","2024-12-21 12:15:02"
"105",,"Department Profit (Loss)","calc_BD_department_profit_loss_ctwdc_4_4","4","4.1","IS.4","Department Profit (Loss)","IS.4.1","Department Profit (Loss)",,,,,"calc_BD_department_profit_loss_ctwdc_4_4","399802.00","434377.00","977074.00","1098034.00","1060323.00","918513.00","680435.00","508769.00","909815.00","1048652.00","644251.00","441308.00",,,"2024","Courtyard Washington DC Dupont Circle","2024-12-21 12:15:02"
"106",,"Total Undistributed Expenses","calc_BD_total_undistributed_expenses_ctwdc_4_4","5","5.6","IS.5","Undistributed Expenses","IS.5.6","Total Undistributed Expenses",,,,,"calc_BD_total_undistributed_expenses_ctwdc_4_4","199280.00","187550.00","265923.00","273054.00","264839.00","246178.00","236235.00","205485.00","244408.00","269397.00","211468.00","190792.00",,,"2024","Courtyard Washington DC Dupont Circle","2024-12-21 12:15:02"
"107",,"GOP Margin","calc_BD_gop_margin_ctwdc_4_4","6","6.2","IS.6","Gross Operating Profit","IS.6.1","GOP Margin",,,,,"calc_BD_gop_margin_ctwdc_4_4","36.91","43.29","61.52","64.81","64.28","61.81","52.21","45.36","61.62","63.55","54.31","42.80",,,"2024","Courtyard Washington DC Dupont Circle","2024-12-21 12:15:02"
"108",,"Income before Non-Operating Inc&Exp","calc_BD_income_before_non-operating_incexp_ctwdc_4_4","7","7.2","IS.7","Income Before Non-Operating Inc & Exp","IS.7.1","Income before Non-Operating Inc&Exp",,,,,"calc_BD_income_before_non-operating_incexp_ctwdc_4_4","184225.00","229720.00","676471.00","786790.00","758359.00","639705.00","418676.00","283224.00","633009.00","742469.00","408874.00","232955.00",,,"2024","Courtyard Washington DC Dupont Circle","2024-12-21 12:15:02"
"109",,"Total Non-Operating Income & Expenses","calc_BD_total_non-operating_income_and_expenses_ctwdc_4_4","8","8.4","IS.8","Total Non-Operating Income & Expenses","IS.8.4","Total Non-Operating Income & Expenses",,,,,"calc_BD_total_non-operating_income_and_expenses_ctwdc_4_4","48934.00","48934.00","48934.00","48934.00","48934.00","59734.00","48512.00","48512.00","48512.00","50752.00","50752.00","50752.00",,,"2024","Courtyard Washington DC Dupont Circle","2024-12-21 12:15:02"
"110",,"NOI Margin","calc_BD_noi_margin_ctwdc_4_4","11","11.2","IS.11","NOI Margin","IS.11.1","NOI Margin",,,,,"calc_BD_noi_margin_ctwdc_4_4","20.90","27.71","50.28","53.96","53.33","49.32","39.51","31.10","50.13","52.41","40.94","27.13",,,"2024","Courtyard Washington DC Dupont Circle","2024-12-21 12:15:02"
"111",,"AVAILABLE ROOMS","BD_available_rooms_hginnb_5_11","1","1.1","OD.1","Operational Data","OD.1.1","Available Rooms","0","0",,,"BD_available_rooms_hginnb_5_11","6696.00","6264.00","6696.00","6480.00","6696.00","6480.00","6696.00","6696.00","6480.00","6696.00","6480.00","6696.00","79056.00",,"2024","Hilton Garden Inn Bethesda","2024-12-21 12:15:02"
"112",,"OCCUPIED ROOMS","BD_occupied_rooms_hginnb_5_11","1","1.2","OD.1","Operational Data","OD.1.2","Rooms Sold","0","0",,,"BD_occupied_rooms_hginnb_5_11","2096.00","3069.00","4759.00","5336.00","5558.00","5268.00","4955.00","4419.00","5054.00","5692.00","4957.00","3616.00","54779.00",,"2024","Hilton Garden Inn Bethesda","2024-12-21 12:15:02"
"113",,"OCCUPANCY","BD_occupancy_hginnb_5_11","1","1.3","OD.1","Operational Data","OD.1.3","Occupancy %","0","0",,,"BD_occupancy_hginnb_5_11","31.00","49.00","71.00","82.00","83.00","81.00","74.00","66.00","78.00","85.00","76.00","54.00","69.00",,"2024","Hilton Garden Inn Bethesda","2024-12-21 12:15:02"
"114",,"ADR","BD_adr_hginnb_5_11","1","1.4","OD.1","Operational Data","OD.1.4","Average Rate","0","0",,,"BD_adr_hginnb_5_11","119.36","126.16","178.40","187.15","211.33","204.31","153.41","150.01","201.34","198.99","156.01","147.99","175.57",,"2024","Hilton Garden Inn Bethesda","2024-12-21 12:15:02"
"115",,"REV PAR","BD_rev_par_hginnb_5_11","1","1.5","OD.1","Operational Data","OD.1.5","RevPar","0","0",,,"BD_rev_par_hginnb_5_11","37.36","61.81","126.80","154.11","175.41","166.10","113.52","99.00","157.03","169.15","119.34","79.92","121.66",,"2024","Hilton Garden Inn Bethesda","2024-12-21 12:15:02"
"116","REVENUE","ROOMS","BD_rooms_hginnb_5_11_revenue","2","2.1","IS.1","Revenue","IS.1.1","Room Revenue","IS.1.1.1","Rooms",,,"BD_rooms_hginnb_5_11_revenue","250181.68","387182.00","849026.00","998617.00","1174561.00","1076300.00","760153.00","662903.00","1017551.00","1132628.00","773323.00","535144.00","9617569.68",,"2024","Hilton Garden Inn Bethesda","2024-12-21 12:15:02"
"117","REVENUE","FOOD & BEVERAGE","BD_food_and_beverage_hginnb_5_11_revenue","2","2.2","IS.1","Revenue","IS.1.2","F&B Revenue","IS.1.2.1","Food & Beverage",,,"BD_food_and_beverage_hginnb_5_11_revenue","7336.00","10742.00","16657.00","41451.00","69045.50","73921.50","62985.00","51450.00","67148.50","82460.00","63865.00","44315.00","591376.50",,"2024","Hilton Garden Inn Bethesda","2024-12-21 12:15:02"
"118","REVENUE","OTHER OPERATED DEPARTMENTS","BD_other_operated_departments_hginnb_5_11_revenue","2","2.3","IS.1","Revenue","IS.1.3","Other Revenue","IS.1.3.1","Total Other Operated Departments",,,"BD_other_operated_departments_hginnb_5_11_revenue","22155.00","32439.00","50303.00","56402.00","58748.00","55682.00","52374.00","46708.00","53421.00","60165.00","52395.00","38221.00","579013.00",,"2024","Hilton Garden Inn Bethesda","2024-12-21 12:15:03"
"119","DEPARTMENT EXPENSES","ROOMS","BD_rooms_hginnb_5_11_department_expenses","3","3.1","IS.2","Department Expenses","IS.2.1","Room Expense","IS.2.1.13","Hourly Wages",,,"BD_rooms_hginnb_5_11_department_expenses","108549.48","117945.47","162535.00","179589.00","194022.98","181103.50","170898.50","157998.50","182377.00","194440.00","169720.47","138766.49","1957946.39",,"2024","Hilton Garden Inn Bethesda","2024-12-21 12:15:03"
"120","DEPARTMENT EXPENSES","FOOD & BEVERAGE","BD_food_and_beverage_hginnb_5_11_department_expenses","3","3.2","IS.2","Department Expenses","IS.2.2","F&B Expense","IS.2.2.1","Food & Beverage",,,"BD_food_and_beverage_hginnb_5_11_department_expenses","14160.96","14274.00","20280.00","50814.00","59682.47","58151.98","57391.49","53312.48","59127.49","61596.47","56484.49","52040.98","557316.81",,"2024","Hilton Garden Inn Bethesda","2024-12-21 12:15:03"
